latitude,longitude
44.233261667,-76.49733
44.233261667,-76.49733
44.233261667,-76.49733
44.233261667,-76.49733
44.233261667,-76.49733
44.233261667,-76.49733
44.233261667,-76.49733
44.233261667,-76.49733
44.233261667,-76.49733
44.233221667,-76.497331667
44.233221667,-76.497331667
44.233221667,-76.497331667
44.233221667,-76.497331667
44.233221667,-76.497331667
44.233221667,-76.497331667
44.233221667,-76.497331667
44.233221667,-76.497331667
44.233221667,-76.497331667
44.233221667,-76.497331667
44.233193333,-76.497336667
44.233193333,-76.497336667
44.233193333,-76.497336667
44.233193333,-76.497336667
44.233193333,-76.497336667
44.233193333,-76.497336667
44.233193333,-76.497336667
44.233193333,-76.497336667
44.233193333,-76.497336667
44.233193333,-76.497336667
44.233173333,-76.497338333
44.233173333,-76.497338333
44.233173333,-76.497338333
44.233173333,-76.497338333
44.233173333,-76.497338333
44.233173333,-76.497338333
44.233173333,-76.497338333
44.233173333,-76.497338333
44.233173333,-76.497338333
44.23316,-76.49734
44.23316,-76.49734
44.23316,-76.49734
44.23316,-76.49734
44.23316,-76.49734
44.23316,-76.49734
44.23316,-76.49734
44.23316,-76.49734
44.23316,-76.49734
44.23316,-76.49734
44.233146667,-76.497351667
44.233146667,-76.497351667
44.233146667,-76.497351667
44.233146667,-76.497351667
44.233146667,-76.497351667
44.233146667,-76.497351667
44.233146667,-76.497351667
44.233146667,-76.497351667
44.233146667,-76.497351667
44.233146667,-76.497351667
44.233143333,-76.497361667
44.233143333,-76.497361667
44.233143333,-76.497361667
44.233143333,-76.497361667
44.233143333,-76.497361667
44.233143333,-76.497361667
44.233143333,-76.497361667
44.233143333,-76.497361667
44.233143333,-76.497361667
44.233143333,-76.497361667
44.23314,-76.497366667
44.23314,-76.497366667
44.23314,-76.497366667
44.23314,-76.497366667
44.23314,-76.497366667
44.23314,-76.497366667
44.23314,-76.497366667
44.23314,-76.497366667
44.23314,-76.497366667
44.233141667,-76.497366667
44.233141667,-76.497366667
44.233141667,-76.497366667
44.233141667,-76.497366667
44.233141667,-76.497366667
44.233141667,-76.497366667
44.233141667,-76.497366667
44.233141667,-76.497366667
44.233141667,-76.497366667
44.233141667,-76.497366667
44.233141667,-76.49737
44.233141667,-76.49737
44.233141667,-76.49737
44.233141667,-76.49737
44.233141667,-76.49737
44.233141667,-76.49737
44.233141667,-76.49737
44.233141667,-76.49737
44.233141667,-76.49737
44.233138333,-76.497366667
44.233138333,-76.497366667
44.233138333,-76.497366667
44.233138333,-76.497366667
44.233138333,-76.497366667
44.233138333,-76.497366667
44.233138333,-76.497366667
44.233138333,-76.497366667
44.233138333,-76.497366667
44.233138333,-76.497366667
44.233136667,-76.497363333
44.233136667,-76.497363333
44.233136667,-76.497363333
44.233136667,-76.497363333
44.233136667,-76.497363333
44.233136667,-76.497363333
44.233136667,-76.497363333
44.233136667,-76.497363333
44.233136667,-76.497363333
44.233136667,-76.497363333
44.233136667,-76.497363333
44.233131667,-76.49736
44.233131667,-76.49736
44.233131667,-76.49736
44.233131667,-76.49736
44.233131667,-76.49736
44.233131667,-76.49736
44.233131667,-76.49736
44.233131667,-76.49736
44.233125,-76.497356667
44.233125,-76.497356667
44.233125,-76.497356667
44.233125,-76.497356667
44.233125,-76.497356667
44.233125,-76.497356667
44.233125,-76.497356667
44.233125,-76.497356667
44.233125,-76.497356667
44.233125,-76.497356667
44.233103333,-76.497361667
44.233103333,-76.497361667
44.233103333,-76.497361667
44.233103333,-76.497361667
44.233103333,-76.497361667
44.233103333,-76.497361667
44.233103333,-76.497361667
44.233103333,-76.497361667
44.233103333,-76.497361667
44.233103333,-76.497361667
44.233081667,-76.497365
44.233081667,-76.497365
44.233081667,-76.497365
44.233081667,-76.497365
44.233081667,-76.497365
44.233081667,-76.497365
44.233081667,-76.497365
44.233081667,-76.497365
44.233081667,-76.497365
44.233081667,-76.497365
44.233063333,-76.49737
44.233063333,-76.49737
44.233063333,-76.49737
44.233063333,-76.49737
44.233063333,-76.49737
44.233063333,-76.49737
44.233063333,-76.49737
44.233063333,-76.49737
44.233063333,-76.49737
44.233048333,-76.497371667
44.233048333,-76.497371667
44.233048333,-76.497371667
44.233048333,-76.497371667
44.233048333,-76.497371667
44.233048333,-76.497371667
44.233048333,-76.497371667
44.233048333,-76.497371667
44.233048333,-76.497371667
44.233048333,-76.497371667
44.233048333,-76.497371667
44.233038333,-76.497373333
44.233038333,-76.497373333
44.233038333,-76.497373333
44.233038333,-76.497373333
44.233038333,-76.497373333
44.233038333,-76.497373333
44.233038333,-76.497373333
44.233038333,-76.497373333
44.233038333,-76.497373333
44.233031667,-76.497375
44.233031667,-76.497375
44.233031667,-76.497375
44.233031667,-76.497375
44.233031667,-76.497375
44.233031667,-76.497375
44.233031667,-76.497375
44.233031667,-76.497375
44.233031667,-76.497375
44.233023333,-76.497376667
44.233023333,-76.497376667
44.233023333,-76.497376667
44.233023333,-76.497376667
44.233023333,-76.497376667
44.233023333,-76.497376667
44.233023333,-76.497376667
44.233023333,-76.497376667
44.233023333,-76.497376667
44.233023333,-76.497376667
44.233011667,-76.497378333
44.233011667,-76.497378333
44.233011667,-76.497378333
44.233011667,-76.497378333
44.233011667,-76.497378333
44.233011667,-76.497378333
44.233011667,-76.497378333
44.233011667,-76.497378333
44.233011667,-76.497378333
44.233011667,-76.497378333
44.233003333,-76.497385
44.233003333,-76.497385
44.233003333,-76.497385
44.233003333,-76.497385
44.233003333,-76.497385
44.233003333,-76.497385
44.233003333,-76.497385
44.233003333,-76.497385
44.233003333,-76.497385
44.23299,-76.497396667
44.23299,-76.497396667
44.23299,-76.497396667
44.23299,-76.497396667
44.23299,-76.497396667
44.23299,-76.497396667
44.23299,-76.497396667
44.23299,-76.497396667
44.23299,-76.497396667
44.23299,-76.497396667
44.23299,-76.497396667
44.232978333,-76.497428333
44.232978333,-76.497428333
44.232978333,-76.497428333
44.232978333,-76.497428333
44.232978333,-76.497428333
44.232978333,-76.497428333
44.232978333,-76.497428333
44.232978333,-76.497428333
44.232978333,-76.497428333
44.232965,-76.497473333
44.232965,-76.497473333
44.232965,-76.497473333
44.232965,-76.497473333
44.232965,-76.497473333
44.232965,-76.497473333
44.232965,-76.497473333
44.232965,-76.497473333
44.232965,-76.497473333
44.232965,-76.497473333
44.232956667,-76.497548333
44.232956667,-76.497548333
44.232956667,-76.497548333
44.232956667,-76.497548333
44.232956667,-76.497548333
44.232956667,-76.497548333
44.232956667,-76.497548333
44.232956667,-76.497548333
44.232956667,-76.497548333
44.232956667,-76.497548333
44.23295,-76.49764
44.23295,-76.49764
44.23295,-76.49764
44.23295,-76.49764
44.23295,-76.49764
44.23295,-76.49764
44.23295,-76.49764
44.23295,-76.49764
44.23295,-76.49764
44.232946667,-76.497745
44.232946667,-76.497745
44.232946667,-76.497745
44.232946667,-76.497745
44.232946667,-76.497745
44.232946667,-76.497745
44.232946667,-76.497745
44.232946667,-76.497745
44.232946667,-76.497745
44.232946667,-76.497745
44.232945,-76.497865
44.232945,-76.497865
44.232945,-76.497865
44.232945,-76.497865
44.232945,-76.497865
44.232945,-76.497865
44.232945,-76.497865
44.232945,-76.497865
44.232945,-76.497865
44.232945,-76.497865
44.232945,-76.497993333
44.232945,-76.497993333
44.232945,-76.497993333
44.232945,-76.497993333
44.232945,-76.497993333
44.232945,-76.497993333
44.232945,-76.497993333
44.232945,-76.497993333
44.232945,-76.497993333
44.232945,-76.498133333
44.232945,-76.498133333
44.232945,-76.498133333
44.232945,-76.498133333
44.232945,-76.498133333
44.232945,-76.498133333
44.232945,-76.498133333
44.232945,-76.498133333
44.232945,-76.498133333
44.232945,-76.498133333
44.232941667,-76.498276667
44.232941667,-76.498276667
44.232941667,-76.498276667
44.232941667,-76.498276667
44.232941667,-76.498276667
44.232941667,-76.498276667
44.232941667,-76.498276667
44.232941667,-76.498276667
44.232941667,-76.498276667
44.232941667,-76.498276667
44.232936667,-76.498421667
44.232936667,-76.498421667
44.232936667,-76.498421667
44.232936667,-76.498421667
